cn,C3UserRole,unicodePwd,givenName,sn,dateOfBirth,mail,gender,telephoneNumber,studentID
student172,10,1234,Student 172,,,,,,
student173,10,1234,Student 173,,,,,,
student174,10,1234,Student 174,,,,,,
student175,10,1234,Student 175,,,,,,
student176,10,1234,Student 176,,,,,,
student177,10,1234,Student 177,,,,,,
student178,10,1234,Student 178,,,,,,
student179,10,1234,Student 179,,,,,,
student180,10,1234,Student 180,,,,,,
student181,10,1234,Student 181,,,,,,
student182,10,1234,Student 182,,,,,,
student183,10,1234,Student 183,,,,,,
student184,10,1234,Student 184,,,,,,
student185,10,1234,Student 185,,,,,,
student186,10,1234,Student 186,,,,,,
student187,10,1234,Student 187,,,,,,
student188,10,1234,Student 188,,,,,,
student189,10,1234,Student 189,,,,,,
student190,10,1234,Student 190,,,,,,
student191,10,1234,Student 191,,,,,,
student192,10,1234,Student 192,,,,,,
student193,10,1234,Student 193,,,,,,
student194,10,1234,Student 194,,,,,,
student195,10,1234,Student 195,,,,,,
student196,10,1234,Student 196,,,,,,
student197,10,1234,Student 197,,,,,,
student198,10,1234,Student 198,,,,,,
student199,10,1234,Student 199,,,,,,
student200,10,1234,Student 200,,,,,,
student201,10,1234,Student 201,,,,,,
student202,10,1234,Student 202,,,,,,
student203,10,1234,Student 203,,,,,,
student204,10,1234,Student 204,,,,,,
student205,10,1234,Student 205,,,,,,
student206,10,1234,Student 206,,,,,,
student207,10,1234,Student 207,,,,,,
student208,10,1234,Student 208,,,,,,
student209,10,1234,Student 209,,,,,,
student210,10,1234,Student 210,,,,,,
student211,10,1234,Student 211,,,,,,
student212,10,1234,Student 212,,,,,,
student213,10,1234,Student 213,,,,,,
student214,10,1234,Student 214,,,,,,
student215,10,1234,Student 215,,,,,,
student216,10,1234,Student 216,,,,,,
student217,10,1234,Student 217,,,,,,
student218,10,1234,Student 218,,,,,,
student219,10,1234,Student 219,,,,,,
student220,10,1234,Student 220,,,,,,
student221,10,1234,Student 221,,,,,,
student222,10,1234,Student 222,,,,,,
student223,10,1234,Student 223,,,,,,
student224,10,1234,Student 224,,,,,,
student225,10,1234,Student 225,,,,,,
student226,10,1234,Student 226,,,,,,
student227,10,1234,Student 227,,,,,,
student228,10,1234,Student 228,,,,,,
student229,10,1234,Student 229,,,,,,
student230,10,1234,Student 230,,,,,,
student231,10,1234,Student 231,,,,,,
student232,10,1234,Student 232,,,,,,
student233,10,1234,Student 233,,,,,,
student234,10,1234,Student 234,,,,,,
student235,10,1234,Student 235,,,,,,
student236,10,1234,Student 236,,,,,,
student237,10,1234,Student 237,,,,,,
student238,10,1234,Student 238,,,,,,
student239,10,1234,Student 239,,,,,,
student240,10,1234,Student 240,,,,,,
student241,10,1234,Student 241,,,,,,
student242,10,1234,Student 242,,,,,,
student243,10,1234,Student 243,,,,,,
student244,10,1234,Student 244,,,,,,
student245,10,1234,Student 245,,,,,,
student246,10,1234,Student 246,,,,,,
student247,10,1234,Student 247,,,,,,
student248,10,1234,Student 248,,,,,,
student249,10,1234,Student 249,,,,,,
student250,10,1234,Student 250,,,,,,
student251,10,1234,Student 251,,,,,,
student252,10,1234,Student 252,,,,,,
student253,10,1234,Student 253,,,,,,
student254,10,1234,Student 254,,,,,,
student255,10,1234,Student 255,,,,,,
student256,10,1234,Student 256,,,,,,
student257,10,1234,Student 257,,,,,,
student258,10,1234,Student 258,,,,,,
student259,10,1234,Student 259,,,,,,
student260,10,1234,Student 260,,,,,,
student261,10,1234,Student 261,,,,,,
student262,10,1234,Student 262,,,,,,
student263,10,1234,Student 263,,,,,,
student264,10,1234,Student 264,,,,,,
student265,10,1234,Student 265,,,,,,
student266,10,1234,Student 266,,,,,,
student267,10,1234,Student 267,,,,,,
student268,10,1234,Student 268,,,,,,
student269,10,1234,Student 269,,,,,,
student270,10,1234,Student 270,,,,,,
student271,10,1234,Student 271,,,,,,
student272,10,1234,Student 272,,,,,,
student273,10,1234,Student 273,,,,,,
student274,10,1234,Student 274,,,,,,
student275,10,1234,Student 275,,,,,,
student276,10,1234,Student 276,,,,,,
student277,10,1234,Student 277,,,,,,
student278,10,1234,Student 278,,,,,,
student279,10,1234,Student 279,,,,,,
student280,10,1234,Student 280,,,,,,
student281,10,1234,Student 281,,,,,,
student282,10,1234,Student 282,,,,,,
student283,10,1234,Student 283,,,,,,
student284,10,1234,Student 284,,,,,,
student285,10,1234,Student 285,,,,,,
student286,10,1234,Student 286,,,,,,
student287,10,1234,Student 287,,,,,,
student288,10,1234,Student 288,,,,,,
student289,10,1234,Student 289,,,,,,
student290,10,1234,Student 290,,,,,,
student291,10,1234,Student 291,,,,,,
student292,10,1234,Student 292,,,,,,
student293,10,1234,Student 293,,,,,,
student294,10,1234,Student 294,,,,,,
student295,10,1234,Student 295,,,,,,
student296,10,1234,Student 296,,,,,,
student297,10,1234,Student 297,,,,,,
student298,10,1234,Student 298,,,,,,
student299,10,1234,Student 299,,,,,,
student300,10,1234,Student 300,,,,,,
student301,10,1234,Student 301,,,,,,
student302,10,1234,Student 302,,,,,,
student303,10,1234,Student 303,,,,,,
student304,10,1234,Student 304,,,,,,
student305,10,1234,Student 305,,,,,,
student306,10,1234,Student 306,,,,,,
student307,10,1234,Student 307,,,,,,
student308,10,1234,Student 308,,,,,,
student309,10,1234,Student 309,,,,,,
student310,10,1234,Student 310,,,,,,
student311,10,1234,Student 311,,,,,,
student312,10,1234,Student 312,,,,,,
student313,10,1234,Student 313,,,,,,
student314,10,1234,Student 314,,,,,,
student315,10,1234,Student 315,,,,,,
student316,10,1234,Student 316,,,,,,
student317,10,1234,Student 317,,,,,,
student318,10,1234,Student 318,,,,,,
student319,10,1234,Student 319,,,,,,
student320,10,1234,Student 320,,,,,,
student321,10,1234,Student 321,,,,,,
student322,10,1234,Student 322,,,,,,
student323,10,1234,Student 323,,,,,,
student324,10,1234,Student 324,,,,,,
student325,10,1234,Student 325,,,,,,
student326,10,1234,Student 326,,,,,,
student327,10,1234,Student 327,,,,,,
student328,10,1234,Student 328,,,,,,
student329,10,1234,Student 329,,,,,,
student330,10,1234,Student 330,,,,,,
student331,10,1234,Student 331,,,,,,
student332,10,1234,Student 332,,,,,,
student333,10,1234,Student 333,,,,,,
student334,10,1234,Student 334,,,,,,
student335,10,1234,Student 335,,,,,,
student336,10,1234,Student 336,,,,,,
student337,10,1234,Student 337,,,,,,
student338,10,1234,Student 338,,,,,,
student339,10,1234,Student 339,,,,,,
student340,10,1234,Student 340,,,,,,
student341,10,1234,Student 341,,,,,,
student342,10,1234,Student 342,,,,,,
student343,10,1234,Student 343,,,,,,
student344,10,1234,Student 344,,,,,,
student345,10,1234,Student 345,,,,,,
student346,10,1234,Student 346,,,,,,
student347,10,1234,Student 347,,,,,,
student348,10,1234,Student 348,,,,,,
student349,10,1234,Student 349,,,,,,
student350,10,1234,Student 350,,,,,,
student351,10,1234,Student 351,,,,,,
student352,10,1234,Student 352,,,,,,
student353,10,1234,Student 353,,,,,,
student354,10,1234,Student 354,,,,,,
student355,10,1234,Student 355,,,,,,
student356,10,1234,Student 356,,,,,,
student357,10,1234,Student 357,,,,,,
student358,10,1234,Student 358,,,,,,
student359,10,1234,Student 359,,,,,,
student360,10,1234,Student 360,,,,,,
student361,10,1234,Student 361,,,,,,
student362,10,1234,Student 362,,,,,,
student363,10,1234,Student 363,,,,,,
student364,10,1234,Student 364,,,,,,
student365,10,1234,Student 365,,,,,,
student366,10,1234,Student 366,,,,,,
student367,10,1234,Student 367,,,,,,
student368,10,1234,Student 368,,,,,,
student369,10,1234,Student 369,,,,,,
student370,10,1234,Student 370,,,,,,
student371,10,1234,Student 371,,,,,,
student372,10,1234,Student 372,,,,,,
student373,10,1234,Student 373,,,,,,
student374,10,1234,Student 374,,,,,,
student375,10,1234,Student 375,,,,,,
student376,10,1234,Student 376,,,,,,
student377,10,1234,Student 377,,,,,,
student378,10,1234,Student 378,,,,,,
student379,10,1234,Student 379,,,,,,
student380,10,1234,Student 380,,,,,,
student381,10,1234,Student 381,,,,,,
student382,10,1234,Student 382,,,,,,
student383,10,1234,Student 383,,,,,,
student384,10,1234,Student 384,,,,,,
student385,10,1234,Student 385,,,,,,
student386,10,1234,Student 386,,,,,,
student387,10,1234,Student 387,,,,,,
student388,10,1234,Student 388,,,,,,
student389,10,1234,Student 389,,,,,,
student390,10,1234,Student 390,,,,,,
student391,10,1234,Student 391,,,,,,
student392,10,1234,Student 392,,,,,,
student393,10,1234,Student 393,,,,,,
student394,10,1234,Student 394,,,,,,
student395,10,1234,Student 395,,,,,,
student396,10,1234,Student 396,,,,,,
student397,10,1234,Student 397,,,,,,
student398,10,1234,Student 398,,,,,,
student399,10,1234,Student 399,,,,,,
student400,10,1234,Student 400,,,,,,
student401,10,1234,Student 401,,,,,,
student402,10,1234,Student 402,,,,,,
student403,10,1234,Student 403,,,,,,
student404,10,1234,Student 404,,,,,,
student405,10,1234,Student 405,,,,,,
student406,10,1234,Student 406,,,,,,
student407,10,1234,Student 407,,,,,,
student408,10,1234,Student 408,,,,,,
student409,10,1234,Student 409,,,,,,
student410,10,1234,Student 410,,,,,,
student411,10,1234,Student 411,,,,,,
student412,10,1234,Student 412,,,,,,
student413,10,1234,Student 413,,,,,,
student414,10,1234,Student 414,,,,,,
student415,10,1234,Student 415,,,,,,
student416,10,1234,Student 416,,,,,,
student417,10,1234,Student 417,,,,,,
student418,10,1234,Student 418,,,,,,
student419,10,1234,Student 419,,,,,,
student420,10,1234,Student 420,,,,,,
student421,10,1234,Student 421,,,,,,
student422,10,1234,Student 422,,,,,,
student423,10,1234,Student 423,,,,,,
student424,10,1234,Student 424,,,,,,
student425,10,1234,Student 425,,,,,,
student426,10,1234,Student 426,,,,,,
student427,10,1234,Student 427,,,,,,
student428,10,1234,Student 428,,,,,,
student429,10,1234,Student 429,,,,,,
student430,10,1234,Student 430,,,,,,
student431,10,1234,Student 431,,,,,,
student432,10,1234,Student 432,,,,,,
student433,10,1234,Student 433,,,,,,
student434,10,1234,Student 434,,,,,,
student435,10,1234,Student 435,,,,,,
student436,10,1234,Student 436,,,,,,
student437,10,1234,Student 437,,,,,,
student438,10,1234,Student 438,,,,,,
student439,10,1234,Student 439,,,,,,
student440,10,1234,Student 440,,,,,,
student441,10,1234,Student 441,,,,,,
student442,10,1234,Student 442,,,,,,
student443,10,1234,Student 443,,,,,,
student444,10,1234,Student 444,,,,,,
student445,10,1234,Student 445,,,,,,
student446,10,1234,Student 446,,,,,,
student447,10,1234,Student 447,,,,,,
student448,10,1234,Student 448,,,,,,
student449,10,1234,Student 449,,,,,,
student450,10,1234,Student 450,,,,,,
student451,10,1234,Student 451,,,,,,
student452,10,1234,Student 452,,,,,,
student453,10,1234,Student 453,,,,,,
student454,10,1234,Student 454,,,,,,
student455,10,1234,Student 455,,,,,,
student456,10,1234,Student 456,,,,,,
student457,10,1234,Student 457,,,,,,
student458,10,1234,Student 458,,,,,,
student459,10,1234,Student 459,,,,,,
student460,10,1234,Student 460,,,,,,
student461,10,1234,Student 461,,,,,,
student462,10,1234,Student 462,,,,,,
student463,10,1234,Student 463,,,,,,
student464,10,1234,Student 464,,,,,,
student465,10,1234,Student 465,,,,,,
student466,10,1234,Student 466,,,,,,
student467,10,1234,Student 467,,,,,,
student468,10,1234,Student 468,,,,,,
student469,10,1234,Student 469,,,,,,
student470,10,1234,Student 470,,,,,,
student471,10,1234,Student 471,,,,,,
student472,10,1234,Student 472,,,,,,
student473,10,1234,Student 473,,,,,,
student474,10,1234,Student 474,,,,,,
student475,10,1234,Student 475,,,,,,
student476,10,1234,Student 476,,,,,,
student477,10,1234,Student 477,,,,,,
student478,10,1234,Student 478,,,,,,
student479,10,1234,Student 479,,,,,,
student480,10,1234,Student 480,,,,,,
student481,10,1234,Student 481,,,,,,
student482,10,1234,Student 482,,,,,,
student483,10,1234,Student 483,,,,,,
student484,10,1234,Student 484,,,,,,
student485,10,1234,Student 485,,,,,,
student486,10,1234,Student 486,,,,,,
student487,10,1234,Student 487,,,,,,
student488,10,1234,Student 488,,,,,,
student489,10,1234,Student 489,,,,,,
student490,10,1234,Student 490,,,,,,
student491,10,1234,Student 491,,,,,,
student492,10,1234,Student 492,,,,,,
student493,10,1234,Student 493,,,,,,
student494,10,1234,Student 494,,,,,,
student495,10,1234,Student 495,,,,,,
student496,10,1234,Student 496,,,,,,
student497,10,1234,Student 497,,,,,,
student498,10,1234,Student 498,,,,,,
student499,10,1234,Student 499,,,,,,
student500,10,1234,Student 500,,,,,,
student501,10,1234,Student 501,,,,,,
student502,10,1234,Student 502,,,,,,
student503,10,1234,Student 503,,,,,,
student504,10,1234,Student 504,,,,,,
student505,10,1234,Student 505,,,,,,
student506,10,1234,Student 506,,,,,,
student507,10,1234,Student 507,,,,,,
student508,10,1234,Student 508,,,,,,
student509,10,1234,Student 509,,,,,,
student510,10,1234,Student 510,,,,,,
student511,10,1234,Student 511,,,,,,
student512,10,1234,Student 512,,,,,,
student513,10,1234,Student 513,,,,,,
student514,10,1234,Student 514,,,,,,
student515,10,1234,Student 515,,,,,,
student516,10,1234,Student 516,,,,,,
student517,10,1234,Student 517,,,,,,
student518,10,1234,Student 518,,,,,,
student519,10,1234,Student 519,,,,,,
student520,10,1234,Student 520,,,,,,
student521,10,1234,Student 521,,,,,,
student522,10,1234,Student 522,,,,,,
student523,10,1234,Student 523,,,,,,
student524,10,1234,Student 524,,,,,,
student525,10,1234,Student 525,,,,,,
student526,10,1234,Student 526,,,,,,
student527,10,1234,Student 527,,,,,,
student528,10,1234,Student 528,,,,,,
student529,10,1234,Student 529,,,,,,
student530,10,1234,Student 530,,,,,,
student531,10,1234,Student 531,,,,,,
student532,10,1234,Student 532,,,,,,
student533,10,1234,Student 533,,,,,,
student534,10,1234,Student 534,,,,,,
student535,10,1234,Student 535,,,,,,
student536,10,1234,Student 536,,,,,,
student537,10,1234,Student 537,,,,,,
student538,10,1234,Student 538,,,,,,
student539,10,1234,Student 539,,,,,,
student540,10,1234,Student 540,,,,,,
student541,10,1234,Student 541,,,,,,
student542,10,1234,Student 542,,,,,,
student543,10,1234,Student 543,,,,,,
student544,10,1234,Student 544,,,,,,
student545,10,1234,Student 545,,,,,,
student546,10,1234,Student 546,,,,,,
student547,10,1234,Student 547,,,,,,
student548,10,1234,Student 548,,,,,,
student549,10,1234,Student 549,,,,,,
student550,10,1234,Student 550,,,,,,
student551,10,1234,Student 551,,,,,,
student552,10,1234,Student 552,,,,,,
student553,10,1234,Student 553,,,,,,
student554,10,1234,Student 554,,,,,,
student555,10,1234,Student 555,,,,,,
student556,10,1234,Student 556,,,,,,
student557,10,1234,Student 557,,,,,,
student558,10,1234,Student 558,,,,,,
student559,10,1234,Student 559,,,,,,
student560,10,1234,Student 560,,,,,,
student561,10,1234,Student 561,,,,,,
student562,10,1234,Student 562,,,,,,
student563,10,1234,Student 563,,,,,,
student564,10,1234,Student 564,,,,,,
student565,10,1234,Student 565,,,,,,
student566,10,1234,Student 566,,,,,,
student567,10,1234,Student 567,,,,,,
student568,10,1234,Student 568,,,,,,
student569,10,1234,Student 569,,,,,,
student570,10,1234,Student 570,,,,,,
student571,10,1234,Student 571,,,,,,
student572,10,1234,Student 572,,,,,,
student573,10,1234,Student 573,,,,,,
student574,10,1234,Student 574,,,,,,
student575,10,1234,Student 575,,,,,,
student576,10,1234,Student 576,,,,,,
student577,10,1234,Student 577,,,,,,
student578,10,1234,Student 578,,,,,,
student579,10,1234,Student 579,,,,,,
student580,10,1234,Student 580,,,,,,
student581,10,1234,Student 581,,,,,,
student582,10,1234,Student 582,,,,,,
student583,10,1234,Student 583,,,,,,
student584,10,1234,Student 584,,,,,,
student585,10,1234,Student 585,,,,,,
student586,10,1234,Student 586,,,,,,
student587,10,1234,Student 587,,,,,,
student588,10,1234,Student 588,,,,,,
student589,10,1234,Student 589,,,,,,
student590,10,1234,Student 590,,,,,,
student591,10,1234,Student 591,,,,,,
student592,10,1234,Student 592,,,,,,
student593,10,1234,Student 593,,,,,,
student594,10,1234,Student 594,,,,,,
student595,10,1234,Student 595,,,,,,
student596,10,1234,Student 596,,,,,,
student597,10,1234,Student 597,,,,,,
student598,10,1234,Student 598,,,,,,
student599,10,1234,Student 599,,,,,,
student600,10,1234,Student 600,,,,,,
student601,10,1234,Student 601,,,,,,
student602,10,1234,Student 602,,,,,,
student603,10,1234,Student 603,,,,,,
student604,10,1234,Student 604,,,,,,
student605,10,1234,Student 605,,,,,,
student606,10,1234,Student 606,,,,,,
student607,10,1234,Student 607,,,,,,
student608,10,1234,Student 608,,,,,,
student609,10,1234,Student 609,,,,,,
student610,10,1234,Student 610,,,,,,
student611,10,1234,Student 611,,,,,,
student612,10,1234,Student 612,,,,,,
student613,10,1234,Student 613,,,,,,
student614,10,1234,Student 614,,,,,,
student615,10,1234,Student 615,,,,,,
student616,10,1234,Student 616,,,,,,
student617,10,1234,Student 617,,,,,,
student618,10,1234,Student 618,,,,,,
student619,10,1234,Student 619,,,,,,
student620,10,1234,Student 620,,,,,,
student621,10,1234,Student 621,,,,,,
student622,10,1234,Student 622,,,,,,
student623,10,1234,Student 623,,,,,,
student624,10,1234,Student 624,,,,,,
student625,10,1234,Student 625,,,,,,
student626,10,1234,Student 626,,,,,,
student627,10,1234,Student 627,,,,,,
student628,10,1234,Student 628,,,,,,
student629,10,1234,Student 629,,,,,,
student630,10,1234,Student 630,,,,,,
student631,10,1234,Student 631,,,,,,
student632,10,1234,Student 632,,,,,,
student633,10,1234,Student 633,,,,,,
student634,10,1234,Student 634,,,,,,
student635,10,1234,Student 635,,,,,,
student636,10,1234,Student 636,,,,,,
student637,10,1234,Student 637,,,,,,
student638,10,1234,Student 638,,,,,,
student639,10,1234,Student 639,,,,,,
student640,10,1234,Student 640,,,,,,
student641,10,1234,Student 641,,,,,,
student642,10,1234,Student 642,,,,,,
student643,10,1234,Student 643,,,,,,
student644,10,1234,Student 644,,,,,,
student645,10,1234,Student 645,,,,,,
student646,10,1234,Student 646,,,,,,
student647,10,1234,Student 647,,,,,,
student648,10,1234,Student 648,,,,,,
student649,10,1234,Student 649,,,,,,
student650,10,1234,Student 650,,,,,,
student651,10,1234,Student 651,,,,,,
student652,10,1234,Student 652,,,,,,
student653,10,1234,Student 653,,,,,,
student654,10,1234,Student 654,,,,,,
student655,10,1234,Student 655,,,,,,
student656,10,1234,Student 656,,,,,,
student657,10,1234,Student 657,,,,,,
student658,10,1234,Student 658,,,,,,
student659,10,1234,Student 659,,,,,,
student660,10,1234,Student 660,,,,,,
student661,10,1234,Student 661,,,,,,
student662,10,1234,Student 662,,,,,,
student663,10,1234,Student 663,,,,,,
student664,10,1234,Student 664,,,,,,
student665,10,1234,Student 665,,,,,,
student666,10,1234,Student 666,,,,,,
student667,10,1234,Student 667,,,,,,
student668,10,1234,Student 668,,,,,,
student669,10,1234,Student 669,,,,,,
student670,10,1234,Student 670,,,,,,
student671,10,1234,Student 671,,,,,,
student672,10,1234,Student 672,,,,,,
student673,10,1234,Student 673,,,,,,
student674,10,1234,Student 674,,,,,,
student675,10,1234,Student 675,,,,,,
student676,10,1234,Student 676,,,,,,
student677,10,1234,Student 677,,,,,,
student678,10,1234,Student 678,,,,,,
student679,10,1234,Student 679,,,,,,
student680,10,1234,Student 680,,,,,,
student681,10,1234,Student 681,,,,,,
student682,10,1234,Student 682,,,,,,
student683,10,1234,Student 683,,,,,,
student684,10,1234,Student 684,,,,,,
student685,10,1234,Student 685,,,,,,
student686,10,1234,Student 686,,,,,,
student687,10,1234,Student 687,,,,,,
student688,10,1234,Student 688,,,,,,
student689,10,1234,Student 689,,,,,,
student690,10,1234,Student 690,,,,,,
student691,10,1234,Student 691,,,,,,
student692,10,1234,Student 692,,,,,,
student693,10,1234,Student 693,,,,,,
student694,10,1234,Student 694,,,,,,
student695,10,1234,Student 695,,,,,,
student696,10,1234,Student 696,,,,,,
student697,10,1234,Student 697,,,,,,
student698,10,1234,Student 698,,,,,,
student699,10,1234,Student 699,,,,,,
student700,10,1234,Student 700,,,,,,
student701,10,1234,Student 701,,,,,,
student702,10,1234,Student 702,,,,,,
student703,10,1234,Student 703,,,,,,
student704,10,1234,Student 704,,,,,,
student705,10,1234,Student 705,,,,,,
student706,10,1234,Student 706,,,,,,
student707,10,1234,Student 707,,,,,,
student708,10,1234,Student 708,,,,,,
student709,10,1234,Student 709,,,,,,
student710,10,1234,Student 710,,,,,,
student711,10,1234,Student 711,,,,,,
student712,10,1234,Student 712,,,,,,
student713,10,1234,Student 713,,,,,,
student714,10,1234,Student 714,,,,,,
student715,10,1234,Student 715,,,,,,
student716,10,1234,Student 716,,,,,,
student717,10,1234,Student 717,,,,,,
student718,10,1234,Student 718,,,,,,
student719,10,1234,Student 719,,,,,,
student720,10,1234,Student 720,,,,,,
student721,10,1234,Student 721,,,,,,
student722,10,1234,Student 722,,,,,,
student723,10,1234,Student 723,,,,,,
student724,10,1234,Student 724,,,,,,
student725,10,1234,Student 725,,,,,,
student726,10,1234,Student 726,,,,,,
student727,10,1234,Student 727,,,,,,
student728,10,1234,Student 728,,,,,,
student729,10,1234,Student 729,,,,,,
